Id,Sales
1,4678.27560089
2,7702.2367442
3,9528.09089668
4,7964.86649017
5,7832.61909249
6,5985.47325675
7,7804.80316692
8,8677.01085779
9,5761.62245395
10,6352.53586104
11,7420.57061425
12,8736.21092338
13,7648.41005966
14,9700.90244688
15,6428.15434981
16,5037.08588946
17,6205.60562696
18,10748.7717451
19,12510.709813
20,10443.1983419
21,8665.08080059
22,5203.88130618
23,6302.79170523
24,4738.18715379
25,8529.52352619
26,12026.1235735
27,9897.14276682
28,6295.92606665
29,6034.7614163
30,4722.01707744
31,6301.64211756
32,11464.505223
33,7113.35013607
34,5950.20087163
35,5928.67373202
36,8322.19753374
37,3952.77397318
38,7832.25458504
39,4707.85244497
40,7376.50883878
41,7224.57322291
42,5799.93744379
43,8679.72797687
44,7257.45350101
45,5106.2486182
46,7261.61585641
47,7978.56161566
48,12376.5750749
49,6537.30098229
50,9048.63017871
51,7308.27616335
52,9375.06364107
53,7094.86021536
54,9792.17291568
55,5257.08658884
56,5464.64055964
57,6584.46415492
58,6314.10375361
59,9760.72636
60,8381.91919638
61,6078.58649094
62,8517.95444318
63,7179.28936089
64,11064.9816952
65,4017.93633345
66,13733.5267147
67,5312.4192205
68,6529.01255603
69,9137.14334181
70,5229.50682452
71,7241.98762252
72,6572.54861699
73,8362.23379695
74,6035.95554769
75,6077.65958754
76,8540.26836721
77,8177.97157582
78,7645.31145251
79,5606.34453956
80,7862.01047645
81,12560.2172682
82,7041.59958666
83,4624.09896234
84,7417.0072412
85,6284.16967277
86,5881.45858135
87,7910.65844781
88,4318.00593488
89,8909.42315672
90,6288.05750011
91,7824.89457465
92,6889.95359863
93,4868.87078656
94,6273.55829721
95,5587.70492322
96,8741.42785194
97,9680.26082054
98,5707.60591004
99,5444.40516859
100,8035.09424604
101,6523.19081176
102,6143.74872573
103,8757.71465811
104,7261.30585073
105,8242.98292328
106,6123.81407224
107,4945.56496844
108,6970.90742545
109,8656.50946584
110,8714.18514645
111,9201.53412501
112,8707.94076667
113,6151.83431543
114,9518.98810936
115,6217.32720751
116,7773.43952361
117,10081.0642598
118,7381.0845139
119,10678.2115769
120,8447.04673342
121,8159.50934049
122,6436.91229759
123,7641.10476002
124,8344.92957137
125,7403.97784026
126,4144.62119432
127,5561.05026548
128,8494.56960391
129,6658.09636653
130,4817.78060453
131,9410.30166758
132,7473.74841376
133,6247.85805273
134,6358.30439725
135,6044.71855775
136,8168.20397025
137,7944.72858905
138,7176.24139085
139,6099.37548411
140,5127.28124756
141,7018.37479404
142,4274.47496321
143,6464.96660839
144,5934.04570634
145,9313.23323736
146,8029.20527754
147,6919.76580944
148,13226.9132101
149,5534.53605214
150,5348.16923315
151,11556.4474077
152,7311.77588763
153,9287.08526589
154,8285.55665383
155,6150.09823181
156,6937.19928116
157,5937.23687552
158,9117.28068472
159,12061.8379258
160,6480.4543056
161,3695.15047342
162,4910.0900021
163,9139.0261966
164,9490.01746449
165,7196.59776957
166,7715.35000783
167,5345.53845237
168,5800.9757139
169,3509.8145807
170,5472.08668127
171,6636.04835263
172,7686.3118379
173,7361.04648444
174,7022.53390165
175,8948.44879176
176,9924.44410907
177,8188.41962795
178,5632.94364102
179,10136.0236325
180,11461.7293883
181,6452.64541166
182,8272.14844316
183,5965.47486082
184,7087.46703904
185,4691.18416
186,7978.99183801
187,5693.03595509
188,9361.54912097
189,7913.81787178
190,9205.63853325
191,8160.02782017
192,6206.32926233
193,10020.8049026
194,20384.871536
195,11253.9154011
196,6324.83835555
197,3364.9986781
198,6761.11544137
199,9596.08472735
200,6243.88909922
201,13592.745204
202,21079.6121845
203,4339.05714814
204,6038.1263457
205,10614.344523
206,5195.2639039
207,9598.47907669
208,7156.57617269
209,8442.76360201
210,4580.74376297
211,6778.02709676
212,6731.68442807
213,7946.34365218
214,10122.7311733
215,6803.44468878
216,6345.3124442
217,8192.16551664
218,5834.63977139
219,5222.4125018
220,8582.21047116
221,6441.1160877
222,6279.36932349
223,7612.9561274
224,7194.94532207
225,5731.7145278
226,8073.66926981
227,7939.30102996
228,8940.66132442
229,6299.47238462
230,8158.85876596
231,6247.63004938
232,4105.46562542
233,6785.75222964
234,7649.77491912
235,6626.37796483
236,4891.39739482
237,9116.70553283
238,8206.48923473
239,9896.77328749
240,7501.1410661
241,6150.44847829
242,5953.13072486
243,4796.35965589
244,11123.0367493
245,5230.76973846
246,7875.46992587
247,16300.0515487
248,8292.45749339
249,8611.02464681
250,5975.17277557
251,4916.1421966
252,8266.20669955
253,4407.51485506
254,6425.63707195
255,11423.7827967
256,5872.80690182
257,17167.4593167
258,14579.0262377
259,5708.15018832
260,7178.65423816
261,5458.48734829
262,7327.76667804
263,6146.07875725
264,12124.489937
265,8874.72131234
266,10279.8707898
267,4914.61076046
268,7815.36913648
269,5344.76225427
270,8797.56978851
271,7271.41794979
272,6827.12334353
273,7057.32684268
274,6686.70451657
275,8939.6510054
276,10416.978858
277,6381.23683889
278,11182.9159876
279,7200.33042235
280,10394.2480765
281,5593.8881578
282,6321.25806008
283,6003.23377318
284,11589.8242897
285,6673.99231103
286,8823.02285309
287,7459.75708562
288,9909.2139946
289,4982.22765883
290,8999.9762136
291,7143.91514595
292,4619.35053037
293,14119.9043961
294,19162.869532
295,8019.70196739
296,7285.95644357
297,10514.5247402
298,11578.1423699
299,12073.9290761
300,6349.72544286
301,8108.87773241
302,6446.5259647
303,9343.6381575
304,4457.37141298
305,6536.13318531
306,5941.04164395
307,6388.86383238
308,8005.72138246
309,5741.42643575
310,5182.94609425
311,7696.00544676
312,4613.44528809
313,5390.75868145
314,7014.4805152
315,7155.64579319
316,10150.6012609
317,8903.96661411
318,8220.65609213
319,7253.5333743
320,5919.88718839
321,12568.6479687
322,7941.92522843
323,6111.80665823
324,5116.58706944
325,8960.07360604
326,4972.98666258
327,7796.48613785
328,3697.98313046
329,5558.07999416
330,8257.91907748
331,6486.41510044
332,5585.10506749
333,9247.9312731
